Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Length,IAT,labels
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0010051727294921,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0009970664978027,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.001105785369873,0
10.50.211.217,211.231.116.86,6,55627,443,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0211322307586669,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0009973049163818,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0009975433349609,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0014774799346923,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0010077953338623,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.001169204711914,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
