Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,IAT,labels
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2444,0.0,0.0,1222,1222,1222.0,0.0,,0.0,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:21,0,1,0,0,0,0,0,0,0,180,0.3125,0.0034722222222222,90,90,90.0,0.0,,0.2887043952941894,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:21,0,1,0,0,0,0,0,0,0,148,10.571428571428571,0.1428571428571428,74,74,74.0,0.0,,0.007570743560791,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,196,0.3356164383561644,0.0034246575342465,98,98,98.0,0.0,,0.2927627563476562,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2102,0.0,0.0,1051,1051,1051.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2104,526.0,0.5,1052,1052,1052.0,0.0,,0.0025205612182617,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2286,0.0,0.0,1143,1143,1143.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2286,163.28571428571428,0.1428571428571428,1143,1143,1143.0,0.0,,0.0071015357971191,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,126,7.875,0.125,63,63,63.0,0.0,,0.0086455345153808,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:21,0,1,0,0,0,0,0,0,0,156,0.5531914893617021,0.0070921985815602,78,78,78.0,0.0,,0.1417539119720459,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,1974,9.87,0.01,987,987,987.0,0.0,,0.1008775234222412,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,256,42.66666666666666,0.3333333333333333,128,128,128.0,0.0,,0.0035123825073242,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,2106,526.5,0.5,1053,1053,1053.0,0.0,,0.0020089149475097,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:22,0,1,0,0,0,0,0,0,0,140,6.363636363636363,0.0909090909090909,70,70,70.0,0.0,,0.0118546485900878,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,1618,17.21276595744681,0.0212765957446808,809,809,809.0,0.0,,0.0476438999176025,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,2272,23.666666666666668,0.0208333333333333,1136,1136,1136.0,0.0,,0.0480422973632812,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,1500,187.5,0.25,750,750,750.0,0.0,,0.004129409790039,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,126,2.333333333333333,0.037037037037037,63,63,63.0,0.0,,0.0278847217559814,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,1908,23.85,0.025,954,954,954.0,0.0,,0.040226936340332,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:22,0,1,0,0,0,0,0,0,0,140,0.3684210526315789,0.0052631578947368,70,70,70.0,0.0,,0.190509557723999,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,558,11.16,0.04,279,279,279.0,0.0,,0.02598237991333,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,1990,26.18421052631579,0.0263157894736842,995,995,995.0,0.0,,0.0386021137237548,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,228,1.3411764705882352,0.0117647058823529,114,114,114.0,0.0,,0.0851626396179199,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,1492,124.33333333333331,0.1666666666666666,746,746,746.0,0.0,,0.0062682628631591,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,126,2.1724137931034484,0.0344827586206896,63,63,63.0,0.0,,0.0290608406066894,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:22,0,1,0,0,0,0,0,0,0,180,0.6382978723404256,0.0070921985815602,90,90,90.0,0.0,,0.1415169239044189,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:22,0,1,0,0,0,0,0,0,0,148,14.8,0.2,74,74,74.0,0.0,,0.0050501823425292,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,404,14.428571428571429,0.0714285714285714,202,202,202.0,0.0,,0.0140972137451171,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,1566,97.875,0.125,783,783,783.0,0.0,,0.0084123611450195,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,406,6.34375,0.03125,203,203,203.0,0.0,,0.0327470302581787,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,256,42.66666666666666,0.3333333333333333,128,128,128.0,0.0,,0.0030159950256347,0
66.22.228.166,172.30.1.44,17,50004,62301,2023-05-07 17:01:22,0,1,0,0,0,0,0,0,0,216,0.2958904109589041,0.0027397260273972,108,108,108.0,0.0,,0.3652565479278564,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,390,11.470588235294118,0.0588235294117647,195,195,195.0,0.0,,0.0173327922821044,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,1792,0.0,0.0,896,896,896.0,0.0,,0.0,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:22,0,0,0,0,0,0,0,0,0,388,48.5,0.25,194,194,194.0,0.0,,0.0042669773101806,0
172.30.1.44,162.159.129.235,6,61079,443,2023-05-07 17:01:22,0,1,0,1,1,0,0,0,1,202,0.7214285714285714,0.0071428571428571,101,101,101.0,0.0,,0.1401641368865966,2
